"formula","1","2","3","4","5"
"~~~~~((~p->~p)->~~((~~(p->(p->p))->~p)->p))","p","p","p","p","p"
"~~~~((p->(~~~(~~p->p)->~p))->~~p)->(p->p)","p","p","p","p","p"
"~((~~p->p)->~(~~~(~~p->~p)->~(p->(~p->p))))","p","p","p","p","p"
"~(~((p->~((~~p->p)->~p))->(~~~p->~~p))->~p)","p","p","p","p","p"
"(~~~~~~~p->(~((~(p->p)->~~~p)->p)->p))->p","p","p","p","p","p"
"~((~p->~~(p->~(~p->(~~p->p))))->(p->~~~~p))","p","p","p","p","p"
"~~(p->((~~~p->~(~p->((~p->~p)->~~p)))->~p))","p","p","p","p","p"
"p->~(p->~~~((~~(~(p->~p)->~~~p)->p)->~p))","p","p","p","p","p"
"~((~~p->(p->p))->~(p->p))->~~(p->~~~~~~p)","p","p","p","p","p"
"(~~p->~p)->(~~~~(p->~~p)->(p->(~p->~~p)))","p","p","p","p","p"
"~~(~p->((p->(p->(p->p)))->~~~~(~p->~~~~p)))","p","p","p","p","p"
"(~(~(p->~~~(~~~~p->p))->~p)->(p->~p))->~p","p","p","p","p","p"
"(~p->(~~~~~(~~p->p)->((~p->~~p)->~p)))->p","p","p","p","p","p"
"~~(~~((p->~~p)->(~~~p->p))->~(~p->p))->~p","p","p","p","p","p"
"(p->p)->~(p->~(~(~~~~~p->~~~(p->~p))->p))","p","p","p","p","p"
"p->(~~~~~~~(p->(p->p))->((~~p->~~~p)->p))","p","p","p","p","p"
"~(p->((p->~(~~~p->(~~~~~p->p)))->(~~p->p)))","p","p","p","p","p"
"~~(p->~~~(~p->~~p))->(~p->~(~(~p->p)->p))","p","p","p","p","p"
"~~~((~~(~(p->(p->(p->~p)))->~~p)->p)->~~~p)","p","p","p","p","p"
"~(p->~(((~p->~~~~~~~p)->(~(~p->p)->p))->p))","p","p","p","p","p"
"~(~(~~~~~~(~(~p->p)->p)->(p->(~p->~p)))->p)","p","p","p","p","p"
"~p->(~~p->(p->~(~~~~~((~p->p)->~~p)->p)))","p","p","p","p","p"
"~(~~~(~~((~p->p)->(~~~p->(p->~p)))->p)->~p)","p","p","p","p","p"
"~(((~(~p->(p->p))->p)->~p)->~(~~~p->~~~~p))","p","p","p","p","p"
"(~p->p)->~~~~~~(p->(~~p->((~~~p->p)->p)))","p","p","p","p","p"
"(p->~p)->(~(~(~~~~~p->(p->p))->~~~p)->~p)","p","p","p","p","p"
"~~((p->(~(~p->(~~p->~~p))->~~~~p))->(p->p))","p","p","p","p","p"
"~~~(~~p->(p->((~~p->(~~~(~~p->p)->p))->p)))","p","p","p","p","p"
"~~(((~(~p->p)->~~(~(p->~~p)->p))->p)->~~~p)","p","p","p","p","p"
"~~((~p->(~p->~~~~~p))->(p->~p))->(~~p->p)","p","p","p","p","p"
"~((~p->p)->~~(~(p->p)->~~(~~(p->~~p)->~p)))","p","p","p","p","p"
"p->~~~(~p->~(~~(~p->~((p->p)->~~p))->~p))","p","p","p","p","p"
"~~(~~~~p->~~~(~(((p->p)->~p)->p)->~p))->p","p","p","p","p","p"
"~~(p->(~~~(~(~~(p->p)->(p->~p))->p)->~~~p))","p","p","p","p","p"
"~~~(p->(~~~(p->~(~(p->~~~p)->p))->p))->~p","p","p","p","p","p"
"~~(~~(~~p->p)->(~(p->~~(p->(p->~~p)))->~p))","p","p","p","p","p"
"~((p->(~(~p->~~p)->~p))->~~~~~(~p->p))->p","p","p","p","p","p"
"(p->~~(~(~p->((~~p->~~~p)->p))->p))->~~~p","p","p","p","p","p"
"~(p->~~~~~~~(~((~p->p)->p)->(p->(p->~~p))))","p","p","p","p","p"
"~~(p->(~(p->(~p->~~(p->~p)))->(~~~~p->~p)))","p","p","p","p","p"
"~~((~p->p)->(~p->~~~~((p->p)->~(~~~p->p))))","p","p","p","p","p"
"~~((~(p->~(~~~~(p->p)->~(~p->p)))->~p)->~p)","p","p","p","p","p"
"~((~~~~~p->~p)->~~(~(p->(~(p->~p)->p))->p))","p","p","p","p","p"
"~((~~(~~~p->p)->~(~p->(p->(p->~~~p))))->~p)","p","p","p","p","p"
"~~~~(p->((~~p->~~~(~~p->(p->p)))->(p->~p)))","p","p","p","p","p"
"~~((~~~p->~p)->~~(p->(~~((~p->~p)->p)->p)))","p","p","p","p","p"
"~(~~(p->~~((~p->~~~(p->~~~p))->(p->p)))->p)","p","p","p","p","p"
"~~~~~~~(p->((p->~p)->~((p->~~p)->(p->~p))))","p","p","p","p","p"
"~(~~~~~((p->p)->~~~p)->(~p->p))->~(~p->p)","p","p","p","p","p"
"~~~(~~~p->~((~(p->~p)->p)->~p))->(~p->~p)","p","p","p","p","p"
"~(~~~~~~p->((p->~p)->~(~~(p->(p->~p))->p)))","p","p","p","p","p"
"(~~(p->(~(q->~~(~q->q))->p))->~~~~~~q)->q","p,q","p,q","p","p","p"
"~~(((~p->(~~(~q->~p)->(~~q->p)))->~p)->~~p)","p,q","p,q","p","p","p"
"~(~~(~~(p->~q)->p)->((p->~~~~q)->(q->~~p)))","p,q","p,q","p","p","p"
"~~~(((~~~~(~~(~p->(~q->p))->q)->q)->p)->~q)","p,q","p,q","p","p","p"
"p->(~(~~p->~p)->~~(~(q->~~~(p->p))->~~p))","p,q","p,q","p","p","p"
"~~((p->~p)->(~(~~~q->~p)->~((~q->~~p)->q)))","p,q","p,q","p","p","p"
"~(~~~(~~~p->~~p)->(~p->(q->(~q->(~p->p)))))","p,q","p,q","p","p","p"
"(p->~(~~p->(~~p->~q)))->~~(~p->~(~~q->q))","p,q","p,q","p","p","p"
"~(~~p->~~((~(~~~p->~(~q->~(p->q)))->p)->q))","p,q","p,q","p","p","p"
"~~(p->(~(~q->p)->~~~(~~(~q->q)->~p)))->~q","p,q","p,q","p","p","p"
"~((p->((p->~p)->p))->~~(p->~(~~~~~q->~~q)))","p,q","p,q","p","p","p"
"~((~p->~~~p)->~~(~(q->~~~~((p->q)->q))->p))","p,q","p,q","p","p","p"
"~~~~~p->(~~(q->((~(q->q)->q)->p))->~~~~p)","p,q","p,q","p","p","p"
"~~((p->q)->~~(~(q->~(~~(p->~q)->~p))->~~p))","p,q","p,q","p","p","p"
"~~((~~~~p->~q)->~(~((p->p)->q)->~~~(p->q)))","p,q","p,q","p","p","p"
"~(~(p->~(~~~~~~(q->(~(q->q)->q))->~~q))->q)","p,q","p,q","p","p","p"
"~(~p->~(p->~(~~~(p->(~(~~q->p)->~p))->~p)))","p,q","p,q","p","p","p"
"~~~((p->~(~(~p->p)->~~((~p->~~~q)->p)))->q)","p,q","p,q","p","p","p"
"((~((~~~~~p->~~~q)->~q)->~p)->~p)->(p->p)","p,q","p,q","p","p","p"
"~p->(~(~~p->(q->~~(~p->(q->~~~p))))->~~p)","p,q","p,q","p","p","p"
"~~(p->~((~(q->~(~~p->~~~~~(p->q)))->p)->p))","p,q","p,q","p","p","p"
"~~~(p->~(~~(p->(q->~p))->(~p->~(~q->~~p))))","p,q","p,q","p","p","p"
"~~~~~~(((~p->q)->q)->p)->~(~~(q->~q)->~q)","p,q","p,q","p","p","p"
"~~~(p->(~~~~(~~(q->((~p->~q)->~q))->p)->p))","p,q","p,q","p","p","p"
"~~~(p->((~~q->~((~q->(~~~q->p))->~~p))->p))","p,q","p,q","p","p","p"
"(p->~(~~~~~~q->p))->~(q->~(q->~(q->~~p)))","p,q","p,q","p","p","p"
"~~((~~~(~~(p->~~(~q->q))->p)->p)->~(~q->q))","p,q","p,q","p","p","p"
"~~~(((p->~~~~~p)->~~~q)->((q->q)->p))->~p","p,q","p,q","p","p","p"
"~~~~~(p->(p->~(p->(q->~~(q->~~~p)))))->~q","p,q","p,q","p","p","p"
"((p->~((p->q)->~~~(~~~~q->~q)))->~~q)->~q","p,q","p,q","p","p","p"
"~~~(p->(~(q->~~p)->~(p->q)))->~(q->~~~~q)","p,q","p,q","p","p","p"
"~(~~p->(~(q->(~q->~~~p))->(~~~(q->~q)->p)))","p,q","p,q","p","p","p"
"~(p->(~p->(((~p->~~~(q->~q))->~~~~q)->~q)))","p,q","p,q","p","p","p"
"((~(~~~~~~p->q)->(p->p))->~~p)->~~(p->~p)","p,q","p,q","p","p","p"
"~(((p->~p)->(~q->~~((~p->~q)->~~~p)))->~~p)","p,q","p,q","p","p","p"
"~~~(~p->((~(~q->(~~~~p->q))->~q)->q))->~p","p,q","p,q","p","p","p"
"~~~~~p->~~((~~q->~(((q->q)->~p)->q))->~q)","p,q","p,q","p","p","p"
"~(p->~~~~(q->(~~(q->~~(~q->~q))->(~q->p))))","p,q","p,q","p","p","p"
"(~~~(~p->~(~~q->~q))->p)->(~(p->~p)->~~q)","p,q","p,q","p","p","p"
"(p->~~(~~p->(~~p->~~(~p->~(~q->p)))))->~q","p,q","p,q","p","p","p"
"~(~~~p->(~~~~q->~((~q->((~q->q)->q))->~q)))","p,q","p,q","p","p","p"
"~~~(~~~~p->~~(~q->~(((q->(p->q))->q)->~p)))","p,q","p,q","p","p","p"
"~(~~~p->~(~((p->p)->~~(~~p->~(q->~p)))->p))","p,q","p,q","p","p","p"
"~~(((~p->p)->q)->((~~~p->~~~~p)->~~(p->q)))","p,q","p,q","p","p","p"
"~~((p->~(~~(~(~q->q)->p)->~p))->(~~q->~~q))","p,q","p,q","p","p","p"
"~(p->((~q->~~p)->~~~((~~(q->~~q)->~p)->q)))","p,q","p,q","p","p","p"
"~~~~(~~p->(~q->(p->~~((q->~~~q)->p))))->q","p,q","p,q","p","p","p"
"~~~~((~(~p->q)->(p->(~~p->~q)))->~(~~p->p))","p,q","p,q","p","p","p"
"((~p->q)->p)->~~~~(~(p->~~p)->~(~q->~~p))","p,q","p,q","p","p","p"
"~~~(~((~~~p->(p->(p->~p)))->~~p)->~(~q->p))","p,q","p,q","p","p","p"
"p->~~~~(~(~(~~~~(p->p)->~(q->p))->q)->~p)","p,q","p,q","p","p","p"
"~~~((~((~~~p->~~p)->(~q->~q))->~p)->p)->p","p,q","p,q","p","p","p"
"~~~~~~(p->(~~((q->q)->~q)->~~((p->~p)->q)))","p,q","p,q","p","p","p"
"~(p->~((~~q->p)->(~p->~~(q->~~q))))->~~~p","p,q","p,q","p","p","p"
"~(~~(~p->p)->~(~q->~(~~((~~q->p)->p)->~p)))","p,q","p,q","p","p","p"
"~~p->~~~(~(~~~~((p->p)->(~q->p))->p)->~p)","p,q","p,q","p","p","p"
"~~~~(~(p->(~p->q))->(~~q->(~~~p->(~p->q))))","p,q","p,q","p","p","p"
"~((~~~~~~(((p->~~(q->q))->~q)->~~q)->q)->p)","p,q","p,q","p","p","p"
"p->~(~~q->(~~((q->p)->q)->~(q->~~~~~~p)))","p,q","p,q","p","p","p"
"~~(~(~p->~~p)->(~(q->(~~p->~(p->q)))->~~q))","p,q","p,q","p","p","p"
"(~~~(~~~~~p->p)->((q->q)->p))->(~~p->~~q)","p,q","p,q","p","p","p"
"(~p->~p)->(~~p->~(q->~~(q->(~~~~~q->q))))","p,q","p,q","p","p","p"
"~~~~(~(p->((p->~p)->q))->~q)->~~(~q->~~q)","p,q","p,q","p","p","p"
"~~~~~p->(~~~((~q->~((p->q)->~~q))->q)->q)","p,q","p,q","p","p","p"
"~(p->~(~q->~~(q->~~~~(~(q->p)->~(p->~q)))))","p,q","p,q","p","p","p"
"(p->~~(~~~p->~(~(~~p->(~q->~q))->p)))->~p","p,q","p,q","p","p","p"
"~(((p->(((q->~~~q)->~~q)->~~p))->~q)->~~~q)","p,q","p,q","p","p","p"
"~~~~~~((~~(~((p->~p)->p)->~q)->p)->~p)->p","p,q","p,q","p","p","p"
"~~(p->(p->~((~q->~~~(p->~~~(~q->~q)))->q)))","p,q","p,q","p","p","p"
"~~(~(~~(~(p->~p)->p)->~~(~~q->(p->~p)))->p)","p,q","p,q","p","p","p"
"~~(~~~(p->~~(((~~~p->q)->q)->~~q))->p)->p","p,q","p,q","p","p","p"
"~((((p->~~q)->~~p)->(~p->~~~q))->~~(p->~p))","p,q","p,q","p","p","p"
"~~(~p->~~((~(~p->~p)->~q)->(~p->~~(p->p))))","p,q","p,q","p","p","p"
"~(~((~~p->(((~~~~~q->~p)->~p)->p))->p)->~p)","p,q","p,q","p","p","p"
"~~~((~((~~p->((~~q->~~p)->~p))->q)->~p)->p)","p,q","p,q","p","p","p"
"~~~(p->~((((~~~~~q->q)->(~p->~q))->q)->~q))","p,q","p,q","p","p","p"
"p->~~~((~~~(~~~(~p->~(q->p))->q)->p)->~p)","p,q","p,q","p","p","p"
"~p->~~(p->((~~~~(q->~~~q)->q)->(~p->~p)))","p,q","p,q","p","p","p"
"~(((~~~p->~q)->p)->~~~p)->~((p->~~p)->~p)","p,q","p,q","p","p","p"
"~(~~p->(~((p->q)->q)->~~~~~~(p->~(~q->q))))","p,q","p,q","p","p","p"
"~~(~~~~(~p->~(q->(~(p->p)->(p->q))))->~~~p)","p,q","p,q","p","p","p"
"p->(~~~((~~q->~~~~q)->p)->(q->(~~~p->q)))","p,q","p,q","p","p","p"
"~(~~~~((~~~(~p->~p)->q)->~~(q->q))->(q->q))","p,q","p,q","p","p","p"
"~(p->~~~p)->~(q->~(~(q->p)->(~~~p->~~q)))","p,q","p,q","p","p","p"
"~~((p->(q->~~(q->~p)))->q)->~(~~~~q->~~q)","p,q","p,q","p","p","p"
"~(~~p->(~~~((p->~q)->((q->~~q)->~~p))->~p))","p,q","p,q","p","p","p"
"~~~((~~(p->(p->(~q->(~~~q->~q))))->q)->~~q)","p,q","p,q","p","p","p"
"~(~~(~(p->~(~~~(p->q)->(~~q->q)))->~~q)->q)","p,q","p,q","p","p","p"
"~(~p->~((~(~q->p)->~~~~p)->~~((~p->p)->p)))","p,q","p,q","p","p","p"
"(~p->~~(q->~~(~(q->p)->~~(~q->q))))->~~~p","p,q","p,q","p","p","p"
"~(~~p->~(~~~~((p->p)->~(~(~q->p)->~p))->p))","p,q","p,q","p","p","p"
"~(((~p->(p->~~~~~~~((~p->~q)->p)))->~q)->q)","p,q","p,q","p","p","p"
"~(~(~p->(p->~~q))->q)->~~~~(~(~q->q)->~q)","p,q","p,q","p","p","p"
"(~~(p->~~~~(~p->q))->(p->p))->(~~~~p->~q)","p,q","p,q","p","p","p"
"~~(~~p->((~((p->p)->(~~~q->~p))->p)->~~~q))","p,q","p,q","p","p","p"
"~p->(~~~~(~q->p)->~~(q->(~~q->~(p->~q))))","p,q","p,q","p","p","p"
"~(p->((~~~p->(p->p))->~~(p->~(~~~q->~~p))))","p,q","p,q","p","p","p"
"~~~~((p->q)->~(p->(~p->~~~p)))->(~~~q->q)","p,q","p,q","p","p","p"
"~(~~(p->(q->(~p->~~~q)))->((~q->~p)->~~~p))","p,q","p,q","p","p","p"
"~~~~~((~~~(~p->(p->~~q))->~q)->((q->q)->q))","p,q","p,q","p","p","p"
"~~p->~(((p->~q)->~q)->~~(~~~~(~q->r)->q))","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~((p->~q)->((p->r)->~r))->(~q->~~~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~p->~~(q->(~(~r->~(~p->q))->(r->~q)))","p,q,r","p,q,r","p,q,r","p","p"
"~p->(~~~(~q->~p)->(~(r->~~(r->q))->~~~p))","p,q,r","p,q,r","p,q,r","p","p"
"~((p->((q->~~q)->p))->~~~(~~~~~r->(p->~p)))","p,q,r","p,q,r","p,q,r","p","p"
"(~~~~~p->~(q->r))->((~q->~(~~q->r))->~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~p->((~(~~q->~(~(r->q)->p))->~~r)->~~~~p)","p,q,r","p,q,r","p,q,r","p","p"
"(p->((~~~(q->~~~~~p)->~~~(q->~q))->r))->r","p,q,r","p,q,r","p,q,r","p","p"
"~((~~~(~~~(p->~q)->~p)->~r)->(~r->~r))->p","p,q,r","p,q,r","p,q,r","p","p"
"~(~(p->(~~~~~(~~q->q)->~p))->(~r->(~p->q)))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->~~~~~(p->(((q->~(~~q->~p))->~~r)->q)))","p,q,r","p,q,r","p,q,r","p","p"
"~~((~~p->~(q->~q))->~(~~q->~(r->~(~r->p))))","p,q,r","p,q,r","p,q,r","p","p"
"~((p->((p->~~~~~~~(q->~(p->q)))->~~r))->~q)","p,q,r","p,q,r","p,q,r","p","p"
"p->~(~~q->(~(~~~(r->~~~r)->~q)->(q->~r)))","p,q,r","p,q,r","p,q,r","p","p"
"~((p->(~~p->~~q))->~r)->~((~~~q->~~r)->p)","p,q,r","p,q,r","p,q,r","p","p"
"~~((~~~((~p->q)->q)->((~q->~~~~q)->r))->~r)","p,q,r","p,q,r","p,q,r","p","p"
"(~~p->~q)->~~(~(~p->~p)->(~(q->~~r)->~r))","p,q,r","p,q,r","p,q,r","p","p"
"~((~~((~~~~p->(q->~q))->p)->~(p->q))->~~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~((p->~q)->~~(~~((p->p)->~p)->r))->~r","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~(((~p->q)->(q->~~(~r->~q)))->(q->~~r))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->~(~~(~q->~q)->~q))->(q->(p->~~~r))","p,q,r","p,q,r","p,q,r","p","p"
"~~~(~~~p->((p->q)->(~~~(r->~p)->~(p->~q))))","p,q,r","p,q,r","p,q,r","p","p"
"~(((~~p->q)->~q)->~~((r->~~~p)->~(p->~~q)))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->~(q->(r->~(~(~q->~~r)->p))))->~~~p","p,q,r","p,q,r","p,q,r","p","p"
"~~(~p->(~~(~(~~(q->q)->~~~(r->r))->q)->~p))","p,q,r","p,q,r","p,q,r","p","p"
"~~~p->~(~~q->(~~(q->~~~(r->(p->~q)))->r))","p,q,r","p,q,r","p,q,r","p","p"
"~p->~~~(p->(~((p->q)->~~(~p->~~~~r))->r))","p,q,r","p,q,r","p,q,r","p","p"
"~~~((p->~(q->~q))->((~r->~~~(q->q))->~~~r))","p,q,r","p,q,r","p,q,r","p","p"
"((~~~~p->~p)->~((q->~p)->(p->~~~~~r)))->r","p,q,r","p,q,r","p,q,r","p","p"
"~~((~(p->~~~~p)->(p->~~~q))->(~(~r->q)->p))","p,q,r","p,q,r","p,q,r","p","p"
"(~p->p)->(q->(~(~~~(q->~~~~r)->~q)->~~q))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->~~q)->(((~q->~p)->r)->~~~(q->~~~~q))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->~~q)->((~p->(~~r->~p))->~~~(~r->~p))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~((((~p->~q)->~q)->~r)->q)->(~~~q->~~p))","p,q,r","p,q,r","p,q,r","p","p"
"(~p->(~~q->q))->~(~~(~r->(~p->~~r))->~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~~(~p->(q->(~~~~(((~~~q->~r)->q)->~p)->p)))","p,q,r","p,q,r","p,q,r","p","p"
"p->(~q->(~~~~~(r->p)->~(~(~~~p->~q)->p)))","p,q,r","p,q,r","p,q,r","p","p"
"~((~~~p->~~(q->(r->(~~p->(~~q->~q)))))->~q)","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~p->~~((q->q)->(~~q->((r->~q)->~~p)))","p,q,r","p,q,r","p,q,r","p","p"
"~(~p->~q)->~~(~((~~p->~~(p->~r))->~r)->r)","p,q,r","p,q,r","p,q,r","p","p"
"~p->~(~((~~(~(q->~~~q)->~~r)->p)->r)->~r)","p,q,r","p,q,r","p,q,r","p","p"
"p->(q->~~~((~~~~p->~(~~~(q->q)->q))->~r))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~~(p->(q->(~(p->~(q->~~~~p))->p)))->~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~~((p->~~~~~~(p->q))->~q)->(~~~(q->r)->q)","p,q,r","p,q,r","p,q,r","p","p"
"(~~~(((p->~(~~~~p->p))->~q)->~p)->~~r)->q","p,q,r","p,q,r","p,q,r","p","p"
"~~((p->~~~(~~~~(p->q)->~((q->p)->~~p)))->r)","p,q,r","p,q,r","p,q,r","p","p"
"~~(p->(~~~~~~q->~~((((r->~p)->r)->~q)->r)))","p,q,r","p,q,r","p,q,r","p","p"
"~~~(~(~p->(~~p->~(~~~q->(~p->p))))->(r->q))","p,q,r","p,q,r","p,q,r","p","p"
"~~((p->~q)->~((p->~~~(~r->r))->~~~(p->~r)))","p,q,r","p,q,r","p,q,r","p","p"
"~~(~(~~(~(p->~(q->~q))->~~p)->q)->~(r->~r))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->~~q)->(p->((~(r->~~~p)->~q)->~~p))","p,q,r","p,q,r","p,q,r","p","p"
"(~p->~~(~(~~~q->~q)->~q))->~(r->(q->~~p))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~(p->q)->~~((p->p)->~~~r))->(~~~p->~q)","p,q,r","p,q,r","p,q,r","p","p"
"~~~(~p->~(q->r))->~~~((~q->~~p)->(~q->q))","p,q,r","p,q,r","p,q,r","p","p"
"~~~p->~((~~(~(~q->q)->~~~r)->~p)->(p->r))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->(q->~(~~~((r->r)->p)->~~(~~q->~~~q))))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~(p->~~p)->~~((q->~~~r)->((~~r->q)->p)))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~(p->(~(p->q)->~~~r))->~((~r->~q)->~~r))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~(p->~(~p->p))->~(~(~~q->(p->~~~q))->r))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~(p->~p)->~((~~p->~~~~p)->(~(q->r)->p)))","p,q,r","p,q,r","p,q,r","p","p"
"~((~~p->(q->~(~~~~~~r->~(r->p))))->~(q->p))","p,q,r","p,q,r","p,q,r","p","p"
"((~p->~((~~q->~~r)->q))->~(r->r))->~~~~~p","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->(~~q->~(p->(~~p->~(r->(~~q->~r))))))","p,q,r","p,q,r","p,q,r","p","p"
"~~((~~(~p->q)->~~p)->q)->(~~~~p->(~r->q))","p,q,r","p,q,r","p,q,r","p","p"
"~((~((~~~~(p->(~q->r))->p)->~q)->q)->~~~~p)","p,q,r","p,q,r","p,q,r","p","p"
"~~(((p->~~q)->~(((q->r)->~~p)->~~~~r))->~p)","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~~~((~(~(p->q)->(q->~q))->(~~q->r))->q)","p,q,r","p,q,r","p,q,r","p","p"
"~~~~((~p->((q->~~(p->(q->~q)))->r))->~~~~r)","p,q,r","p,q,r","p,q,r","p","p"
"~(p->(q->(~~~p->((~r->q)->~~(~~~r->~~p)))))","p,q,r","p,q,r","p,q,r","p","p"
"(~~~(p->(~(~~~q->p)->~~~q))->~~r)->(r->p)","p,q,r","p,q,r","p,q,r","p","p"
"~~~p->~(((p->~q)->(~~~~q->~~p))->~(r->q))","p,q,r","p,q,r","p,q,r","p","p"
"~~~~~(~(~p->q)->(((r->p)->~~~p)->~~q))->p","p,q,r","p,q,r","p,q,r","p","p"
