index, formula
57, (p & p) & ((q v (p v (((r & (s v t)) & ~r) & t))) & p)
58, p & ((q v ((r & (r & (s & ~(r & (t v s))))) & t)) & s)
59, (p v (q & r)) & ((((~s & q) & p) & (t & (t v q))) v r)
60, ~(p v q) & (p & (((r v (q v r)) v (s v (p v t))) & p))
61, p v ((~(q & ~((r v q) v s)) & (t v s)) & ~(p & s))
62, (p v ~(q v p)) & ~((q & (r & ((p & s) v t))) v ~t)
63, ((p v (q v ~~~(~q v ~r))) & s) v (q & (q v t))
64, (p v (q v (q & ~(r & (p v s))))) v (r & ((t v r) & p))
65, (p & ((q v (r v p)) v s)) v ~~~((s v (s & t)) v t)
66, ~((((p v ~q) v (r v ~s)) v t) v (s & ((p & p) & t)))
67, ~((p & (q & ~r)) & (r v (~s & (r v (t & t))))) v s
68, ~((p v (q & (((q & q) v r) v s))) & ((s v t) & (p v t)))
69, (~(p & q) & (q v ~r)) v (s v ((r & (q v t)) & ~t))
70, ((((p v q) & ((r & s) & (s & q))) & q) & t) v (s v ~s)
71, (p & ~((q & (r v s)) v (s & q))) v (r & (t v (q & s)))
72, (p & p) v ((q v (r & ~(s v t))) & (r & (r & (r v p))))
73, ~((p v p) & ~((((q & r) & s) & q) & ((t v ~s) & p)))
74, ~(p & q) & ((~r v ((p & (s v t)) v t)) & (~s v s))
75, p & ~((q & ~~((r v s) & (~t & (s v ~r)))) v q)
76, (p & ~~((q v ~~r) v q)) v (s v ((t v t) v ~t))
77, ((p v ((q & ((r v (s v t)) & s)) v t)) v (~t v s)) v r
78, ~((p v (((q v ((q & r) v ~(s v q))) & t) v r)) & ~q)
79, p & ((p & ((q & p) v ((~((r & r) & s) v q) v q))) & t)
80, ~(~(p & (q & (((r & r) v p) & ~~s))) & p) & ~t
81, ((p v ~q) v ((r & p) & (p & ((s v t) & (t & q))))) & t
82, ~p & ((q & ((~r & s) & (r v t))) & (s v ~(q v s)))
83, ~(p v (q & (~~r & (s & q)))) v (p & (~t & ~s))
84, (((~~p & q) v (r v (s v (r v r)))) v p) v ~(t v q)
85, (p v q) & (~((r & ~q) v (((s & q) & t) v ~q)) & q)
86, p & ((~(~q & ~(r v p)) & (s v (t v q))) & ~~q)
87, p v (((~q & ((q & (~p v r)) & r)) v ~s) & (s v t))
88, ~(~p v ~~(q & ~(~(r v s) v ((s & t) v ~q))))
89, p v ((q v r) v (~((s & t) v ~(q & r)) & (~r & t)))
90, (((p & ~q) & (p & p)) v (((r v q) & ~p) v s)) & ~t
91, ((~p v (q & ((p & ~~r) & s))) & t) v (q & (q v r))
92, ((p v ((q v (r & r)) v r)) & (s v ((t v t) v ~r))) v s
93, p v (q v (r v ~((q v ~s) v (~(t v t) v (r & t)))))
94, ((((p & (q v ~(~p & (r & ~p)))) v p) v s) & t) & q
95, ((~p v p) & (q v ~r)) & (s & ((t & p) v ~(s v r)))
96, (((p v (p v q)) & (r v ((p & s) & (q v ~q)))) v t) & t
97, p v ((~((q v ~~((q & p) v (q & r))) v s) v s) & t)
98, p & ((q v r) & (((q & (r v (~r & q))) & s) v (p v t)))
99, ((p v (~p v q)) v r) & (((s v s) v (r & r)) v (t & t))
100, (~p & (q & ~((r v ((s & q) v (r v t))) & ~s))) & r
101, ~~(((p v (q v ~(r & ((r & p) & (s v r))))) v t) v s)
102, (p & q) & ~(((q & q) v (~(r v q) & s)) & ~(t v r))
103, ((~~p & ((q & q) v ((r & s) v (~r & r)))) v t) v q
104, ~~p & ~((q & ((q v p) v ((r v q) & (s & t)))) v t)
105, ~(p v (q v (p & r))) v (r v ((s & (s & r)) v ~~t))
106, (p v (~(q & ((r v q) v s)) v t)) v ((r v r) & (q & s))
107, ((p v q) v ((r & s) v t)) v (~(q & (s v p)) & (t v s))
108, (((((p v q) & (p & r)) & ~p) v s) & s) & (t v (q v r))
109, p v ~(((((q & r) & (r v (q v s))) v p) & t) & (s & s))
110, ((p v ((p & q) & q)) & (((p v (r v s)) & ~t) v s)) v t
111, ~p v ((~p & (q & (((r v q) v s) & r))) & ~(t & s))
112, ~((p & (q v ((q & (r v p)) v (p & (s v t))))) & q) & r
113, ~(((p v q) v ~~p) v ((~p & r) & ~~(~s v t)))
114, (p v p) & ((p v ((~q v (q & ((r & p) v s))) v t)) v s)
115, ((p & q) & (~(p & p) v r)) v ((s v p) & (q & (s & t)))
116, (~(((p & q) v r) v p) v (q & ((s v (t & s)) & r))) & r
117, p v (~q v ~((q & (r v (p v ((s v ~q) v r)))) v t))
118, ~(((((p & (((q v q) & r) v (q & p))) & s) v t) v s) & r)
119, (p v ((q & (r v q)) v (p v ((p v ~(s & t)) & t)))) & t
120, (p & q) v ((((r & (s v q)) v t) & ~s) & (~~q v r))
121, p v ((q v (((r v ((p v s) v q)) & p) v ~(t & r))) & s)
122, (~(((p v (q & (~r v r))) v (~p & s)) & r) v r) & t
123, p & ((~((~(p & (q v (r & r))) v ~s) v t) & r) & p)
124, (p v (q v (p v ((q & (r & ~~(~s & q))) & s)))) & t
125, ~(p v ((p v ~~((p & q) v ((r & s) & t))) v (s & p)))
126, (p v (q v r)) & (s v (~(~~(t & s) & s) & ~~s))
127, (((p & q) v (((r v s) & t) & ~q)) & q) & (r v (t v t))
128, ~(p & (((((q v ~~r) v q) v q) v s) & t)) & (s & r)
129, p v ~(q & ((~(((~r v s) & p) v t) & (p & r)) v p))
130, ((~(p & q) & r) & (s & (t v ~~((s & q) v p)))) & p
131, p v (q v (q & ((q & ((~(r v s) v p) v t)) v (t v s))))
132, (~~p & ~q) & ((~p v ((r v (s v q)) & q)) v ~t)
133, (p & (((q v (~(r v s) v ~r)) v (r & ~q)) v t)) v t
134, ((~~((p & q) v (p v r)) v (~(r v s) & p)) v t) & s
135, p v (((q v q) v ~r) v ~~(q & (s & (t v ~~q))))
136, (p & q) & ~((r v s) & ((((t & r) & p) v t) & (q v p)))
137, (~((~p v q) & (((r & s) v q) & q)) & ~s) v (t v r)
138, (p & (p v (((q & r) v r) & (s v ((q v r) & ~t))))) & p
139, p & ((p & q) & ((q & (r v p)) & (s & ~((p v s) & t))))
140, ((p v ~(p v q)) v (r & s)) & (~(s & (t v s)) v ~s)
141, p v (~q & ((r v s) & (((r v p) & ~(r & t)) & ~t)))
142, p & ~~(((p v q) v p) v ((r & s) v ((~q & t) v q)))
143, (~(p & ~(~q & (r & s))) v p) & (~~(p & r) v t)
144, (((p & ((q v ~((p v (r v s)) v t)) v t)) v s) v q) v r
145, (((p v (q v p)) & (~r & (q v p))) v p) v ((s v t) & r)
146, ((p & (q v r)) v (((s v (p v (q v p))) v t) & t)) & ~r
147, ((((p v ((q & ((p v ~r) & p)) & r)) v s) v s) v t) & t
148, p v ((q v (r & s)) & ((s & (p v s)) & (r & (~r & t))))
149, p v (q & ~((r & r) & (r v ((s v (t v (p v p))) & p))))
150, ((p v q) v ((p v q) v ((q v ~(r & ~s)) v ~q))) v t
151, ~(p & q) & ((r v (s v q)) & (r & ((s & p) v (p v t))))
152, ~(~p v q) v (r & ((s & (q v (t & r))) v ~(s & q)))
153, p v (~q v ((~~(p & (r v q)) & s) & ((p & q) & t)))
154, (p & (q & ((p v r) & ((s & t) v t)))) & ~((s v r) v t)
155, p & ~(((q v r) v ~(p v ~(s v (p & (t v r))))) & q)
156, (p & ~((q v r) & (r v ~(~p & p)))) & ((s v r) v t)
157, (p v ~(~((~q v r) & (((r & s) v s) v t)) v r)) & p
158, ~((~((p & ~~((q & r) & r)) & s) v ~(t & q)) & s)
159, ~((p v (q & r)) & ((~r v s) & (~q & ((t & s) & r))))
160, ~(p & (((q v (r v r)) v s) v ~s)) & (~(s v t) v p)
161, (((p v (q v r)) & s) & ~t) & ~~((s v r) v (r v q))
162, (~p v p) v (q & ~(r & (~(~~q & s) v (q v t))))
163, ~~(((p v p) & (~((q & r) & (r & r)) & (s & r))) v t)
164, (((~p & q) & ((((q & p) v q) v q) v (r & s))) & t) v q
165, p v ((((p & q) & r) & (p & s)) & ~(s v (t v (s v s))))
166, ((~p v q) & (r & ~(((p & ~p) v p) v (s v p)))) & t
167, ~~((p v (q v r)) & (s & (r v ~((p & s) & t)))) v q
168, ~~((p & (q & (((~~~r & p) v p) v q))) v s) v t
169, p & (q v ~(r v (~s & (((s & t) v (p v ~q)) & q))))
170, ~((((p & (~(q v r) v (s v t))) & p) & (~s v r)) v s)
171, ~(((p v (q v (~r & s))) v t) v (((r v ~q) & p) & r))
172, ~p v (q & (((r & s) v (~(q v r) & (p & ~t))) v p))
173, ~(((((~p v q) & (r & q)) & (r v (~q & s))) v t) & t)
174, (~~(p & (~((q v (q & q)) v r) & (s & p))) v s) & t
175, ~(p v (~(q v (p & r)) & ((q & s) & (~r & t)))) & s
176, p & (q & (~((q v r) & r) & ((r v ~(~s v t)) & s)))
177, p & ((q v (((r v s) v r) v (q & r))) v ((t & ~s) & q))
178, ((p & q) & r) v ~(~((r & s) & (p & (t & ~r))) v r)
179, ~((p & ~((q & ~r) v (s & (s v ~~(t v r))))) v s)
180, ~p & ((p v p) & (((q & r) & q) & (s v (p & ~~t))))
181, ((((~p & ~(~~q v r)) & s) v (q & t)) & t) & ~r
182, ~(((p v ~q) v ~(~q & (r v s))) v ~(t & p)) v t
183, p v (~~q v (r & ~((~(s & q) & ~t) v (q v q))))
184, ~((p v ~~q) v (r & (s v q))) v (q & (t & (t v q)))
185, (((p v (q & (~r v ~s))) v t) v (~t v (r & r))) v p
186, ~(p & (((q & (~r & (s v p))) v (~r & t)) & q)) & t
187, (p v q) v (~p & ~(p v ~(r & (s & (s v (p v t))))))
188, p v ((q v ~~(((((r v s) v ~p) v r) v s) & q)) & t)
189, ~~((p v ~(~~q v (q v q))) v ((p v (r & s)) v t))
190, ~(p & (p v (q & ~(q & ((~(r & p) & r) & s))))) v t
191, ((p & (q v ((((q & q) v q) v (r v s)) & ~s))) v t) & q
192, p & (((q & (((r v r) & p) & r)) v ~s) v (q & (t & s)))
193, (p & (q v ((((p v (~r v p)) v p) v (r & s)) & t))) & t
194, (p v ~~(q & ((r v ((s & (r & p)) v t)) & q))) & ~q
195, (~((((p v q) v (r & r)) v s) & (r v q)) & (q & t)) & p
196, ~~((p & q) v ~((r & s) & (q v (((p & r) & t) v s))))
197, (((~(p v q) v ((r v q) & s)) & ~~t) v (q & q)) & q
198, (~((p & ((((~q & r) & s) & p) v p)) v ~t) v r) v s
199, p v (q & (p v ((~~(r & ((s & t) & p)) & q) & ~s)))
200, p v (((q v q) v (r v ((s v t) & (q & ~(s & r))))) v s)
201, ((p & ((q & r) & s)) v p) & ((p v (~(s & p) & s)) v t)
202, (p & q) & ~((~p v (r v (s v (t v (~q & t))))) v r)
203, ~p v (q v (r v ((~(s v ((s & ~p) v t)) v s) v r)))
204, ((((p v q) & q) & r) & p) v ((p & (p v (~s & t))) v p)
205, ~(p & (((q v r) & s) & ((~(~q & t) v t) v (t & q))))
206, ~~((p & ((~q v (r & s)) & (s v ((s v r) & s)))) & t)
207, p v ((~(p & (q v (p & ~(r & s)))) v (~t & p)) v t)
208, ~~(p & (q v ~((((r v s) v t) & r) & (q v r)))) & t
209, ((p v q) v (p v (~(q v r) v ((s v ~p) v ~s)))) & t
210, (p v q) & ((r & s) & ((((~p v q) v t) v r) v (r & s)))
211, (~p & ((q & (r v ~q)) v s)) & (s v ~(q v (t v r)))
212, ~(p v (~(q & (r & ((s & ~(q v (t & s))) & p))) v p))
213, ((p & q) & ~(r v (s v (q & q)))) & ((q & s) & (p & t))
214, ~p v (q v ((~(r & ~r) & ((s & t) v r)) v (t v q)))
215, ~~((p v q) & ((r v q) & ((p & s) v (s v ~(s v t)))))
216, (~~p v ((q v p) & (~~r v (r & (s & ~t))))) & t
217, (~p v ((p v ((q & r) & s)) v (p & t))) & (~~r & s)
218, (p & ~(((q v r) v (r v s)) v (~(~r v t) v s))) & q
219, ((p & q) v (p v (p & (p & (~r v (s & (s v p))))))) & t
220, ((p & p) & (~q v (r & (s v p)))) v (((t v q) v r) v s)
221, ~~((((p & q) & p) & ~((r & s) v t)) v ~~t) v q
222, ~~~p & ((~(((q & r) v (~q v s)) & q) & t) & p)
223, ~(~((p v q) v (~(r & ((s & r) & ~p)) v ~r)) & t)
224, ~((p v ((p & (p v q)) v ((r & ((s v t) & q)) v q))) & s)
225, ((p & q) & (((~r v s) & t) & ((p & t) & r))) & ~~s
226, (((p & q) & (~(~((r v s) & ~q) v r) & r)) v t) v p
227, ~(((((~p v q) v ~r) v ((r & s) & t)) & p) v s) & t
228, p & ~(q & ~((~(r v ((r & r) & s)) v t) v (r v r)))
229, p v ((q & r) & (((s & ((q & ~q) v r)) v r) v (p & t)))
230, (p & q) & (r & (~((r & (p & (r v (s v r)))) & p) v t))
231, (~p v (q v ~((r & (s v s)) v q))) v ((t v t) v ~q)
232, (p v (q & r)) v ((s v r) v (p v ((t v (s & ~r)) v t)))
233, ~~~(~p v ((~((q & r) & ((q v r) & p)) v s) & t))
234, (~(p & q) v (((r v ((q & s) v t)) & (q v p)) v p)) v t
235, p v ((~(q & (~((q & (q & p)) v r) & q)) & ~s) v t)
236, ~((p & (~q & ((r & (q v s)) v ~(p & q)))) & (t v t))
237, p & ((q & (r v ((s v ((p & q) & ~~s)) & ~s))) v t)
238, p v (q & ((r v r) & ((s v p) & ~(t & ((s v t) v t)))))
239, ~(((p v (((q & q) & (q & r)) v s)) & (q & q)) v ~~t)
240, ~(p v q) v (r & (s v (((~p v t) v (~p & r)) & t)))
241, (p & (q & (((q v r) & r) & (s v ((q & t) v q))))) & ~p
242, ~(p v (q v r)) & ((~s & (~t v r)) v ((p v q) & q))
243, ~(((~p & ((q & (r v s)) v r)) v t) v ((q & t) v ~r))
244, ~((p v p) v (((q & r) v (s & ~s)) & (~t & p))) v q
245, (p & ((p v ((q & (r & ~s)) v r)) & (t & (t v q)))) v q
246, p & (((~q & (r & s)) & ~(~((p & q) & t) v t)) & r)
247, ~(p & ((q v r) v (r & ((r v r) & (q v (s & (t & r)))))))
248, ~(p v ((q v r) v (p v ~((s v ~(t & (t v t))) v r))))
249, (p v (~~q & r)) v (~q & ((((s v s) v s) v t) v p))
250, (((p & (q & q)) & (~p v r)) v s) v (((p v t) & p) v p)
251, ~((p & ~q) v ~((r & (~r v ~~s)) v ~t)) v q
252, (((p v p) v q) v r) & ((q v s) v ((r & ~(t v q)) v p))
253, ((((p & q) & (q v q)) v r) & q) v (((~q v s) & t) v r)
254, p & ((q v ((q v ~q) v (r v ~(s & s)))) & ~(t v p))
255, (p v (p & (~(q v r) v ~((~r & p) v (p & s))))) & t
256, (p v p) & ((((q & ((q v r) v q)) v r) v (s & ~t)) & t)
257, p v ((~(((p & p) v ~q) & ~((q & q) & r)) v s) v t)
258, (p v (~((q & ~q) & (~(q & r) & r)) & s)) v (t & r)
259, ((((p & (q v r)) & s) & q) & ((s & t) & q)) & ~(p v r)
260, p & ((q & ((q & r) & ((s & (p & p)) & ~p))) & (t v s))
261, ((p & q) v (p v r)) v (~(r & (p v (p v s))) & (t v s))
262, p v (((q v q) v r) & ((~q v ~((p & s) v t)) & ~p))
263, (p & (q v ((r v (((s & ~q) & r) & r)) v r))) v (r v t)
264, (p & p) v ((((q v (r & q)) v ~s) & s) v (t v (s v t)))
265, ((((p v (q & ~(r v s))) & q) v (t & (p & s))) & s) & q
266, (p v (q v ((~r v s) & q))) & ((~(s & t) v ~r) v q)
267, ~(((p & (q v ~(r & p))) & (((r & ~s) v t) & p)) v s)
268, p v (((q & q) v ((p & q) & (~(r v (p v s)) & t))) & s)
269, p v ((q v r) v (((((q v (r & p)) & q) & s) & r) & ~t))
270, (p & ((((q v r) & s) v ~~(p v q)) & s)) v (t & ~r)
271, ~(((~(p & (q & (p & (r & ~p)))) v s) & ~~t) & r)
272, p v (q v (~((p v p) v ~~((r v (r v q)) & s)) v t))
273, (p & (((~q & q) v ((r v p) & ~r)) v s)) v ~(t & q)
274, (p & (p v ((q & ((r & q) & s)) v (r & (t v ~q))))) v r
275, p & ~((q & (((q & (~(r & ~s) v q)) v t) v r)) v s)
276, p v ((q v p) & (~r & (((~p v s) v q) & (~t & p))))
277, (p & q) v ((~r v (q & (((~p & s) & p) & r))) v ~t)
278, ~(p & (((((q v r) v (q v s)) v p) & q) v (r v (t & s))))
279, (p & ~(q v p)) v (r v (((s v ~(p & r)) v ~s) v t))
280, ~(p & q) & ((((r v s) v p) & ((p & s) & t)) v (p v q))
281, (~p v ((((q v r) & q) & r) v s)) v (((q v q) v s) & t)
282, ~((((p v (q & (r v ~(r v ~s)))) v r) & (p & p)) v t)
283, ~(p & (q & (((~r & (s & q)) v t) & (p & q)))) & ~p
284, ~(~((p v (q & q)) & r) & (((s v q) & p) v (~r & t)))
285, (p v (~q v r)) & (p & (s & (((q v (t & r)) & t) & p)))
286, p & (q & ((~(r v ((q v (s v t)) & (r v t))) & r) & t))
287, (p v (q v (r v s))) v (t v (~p v ((q & ~q) v ~q)))
288, ((((~p v (q & r)) & q) v s) v t) & (~(r v ~t) v t)
289, p & ((~((q v (r & s)) v p) v ~(~(r & t) v q)) v p)
290, ~(p v (p v (((q v r) & ~p) v (~(~s & s) v ~t))))
291, (((p v (((q & r) v ~p) v s)) v (r v ~t)) & ~q) & t
292, (p v (p v (p & q))) & (p & (((~r & p) & (s & t)) & s))
293, ~p v ((q v (r & ((p v s) & q))) & ~~(p v ~~t))
294, ~~(p & ~((((~q v r) & (~s & t)) v (q v s)) & t))
295, ~((((p v (q & ((r & r) v s))) & s) v t) & q) v (s & r)
296, ((((p & q) & ~((r & r) & s)) & (t v p)) & (r v s)) v r
297, ~((p & (q & p)) & ((~r & (s & t)) & (t v (~r & t))))
298, p & (~(q v r) v (s v (s v (t & (~(p v r) & ~q)))))
299, ~((((p & (q v ~r)) & ~r) v (((s & r) & q) & t)) v p)
300, (~(p v q) & ((~r v (s v ~t)) v r)) v (p & (r & s))
301, ~(((p & ((q v ~~p) v r)) v (~r v ~s)) v (p & t))
302, p v (q & (r & ((r & ((~s v (~t v ~p)) & s)) & p)))
303, ((p v ~(~(~q v (r v q)) & (s & (s & t)))) v r) & p
304, p & (~((q & (~~~p & (~(q & r) v s))) v t) & s)
305, ((p & ((q v (r v q)) v s)) v r) v (((q v ~q) v t) & t)
306, ~(p v (q & ((r v s) v ((((s & q) & t) & (p & s)) & q))))
307, ~~(~~(~p v (((q & (r & (q v s))) & t) & p)) v s)
308, (p & (p v q)) v (r & (s & ~((s & t) & (p & (p & t)))))
309, ~((p & (q & r)) & (~p & (~((p & s) & p) v p))) & t
310, ~(~(p v q) v ((p & (r v (((~r v s) v t) & r))) v s))
311, (p v (q v r)) v ((s & (s & r)) v (~(t & q) & (t v s)))
312, (p v ((((q v r) v r) v r) v (p & ((~q & s) v t)))) & p
313, ((p v ~p) v q) v (((r & s) & q) & (r & ((p & t) v r)))
314, ((~~(p & q) v ~(q v (r v s))) & q) & ((t & p) v r)
315, (p & ~(~((q v p) & ~~r) v p)) v ((s v t) & ~t)
316, (p v q) & (~~r & (~((q & p) & s) v (t & (q v s))))
317, ~(((p & q) & ~p) v p) v ((((~r v s) v r) & t) v t)
318, ~(~(((p v (q v (r & p))) v ~((s v s) & t)) & r) v p)
319, (((p & q) v (q v (((r & ~q) & (q v s)) & t))) & p) & q
320, p & (q & ((q & (p & (q & r))) & ((~s & s) & (s v t))))
321, ~(p & (q & (q & (p v r)))) & (r v (s v (t v (q & s))))
322, ~(p v (~~(q v (~(r v ~(q v (s & t))) & s)) & s))
323, p & (~(~q & r) v (p & ((((s v t) & t) & ~q) & p)))
324, (p v q) & (r & ~((q & p) & ((s & q) & (t & (s v p)))))
325, ((~(p & (q v (r & s))) & s) v p) v ~((p & ~r) v t)
326, (((p & (q v (r & s))) v (~p & (r & (s v q)))) & q) & t
327, ~((p & q) & (~(((p v r) v ~s) & t) & (s v (t & t))))
328, p v (p v (q & (p & (((r v ~(q & p)) & (s v t)) & s))))
329, (~p & ((q & r) & s)) & (((t v (s v s)) v p) v (q v s))
330, ~(p v ((q & (r v (((s & (s & q)) & t) & ~~q))) & s))
331, p & ((q v (((p & r) & s) & (s & ~t))) v (s v (p & r)))
332, (p v ~(q & (p v (((~r v r) v s) v t)))) v ~(r & q)
333, ~(~(((p v q) v (r & p)) & (((q & ~s) & r) & t)) v s)
334, p & (q & (~p v (((r & s) & (p & ~~t)) v (q v t))))
335, (~p v ((q & ~(~r v ~s)) & (t & (t & ~t)))) & r
336, ~p v ((q v ((p v (p & (r v (q v r)))) & (s & t))) & p)
337, ((((~p v (q & r)) v s) & ((t & t) v (r v r))) v r) v p
338, ((p & q) & (~p v r)) & (((p v q) & (s & (r & r))) v t)
339, ~(p & ((p & ~(p & ~~~((p v (q & r)) v s))) v t))
340, (~p v (q & ((q & r) & (q & ~s)))) v (~t & (s & p))
341, ((p & (~q v ~r)) v ~q) & (q v (s & (t v (p v q))))
342, ~~((p v (q & ((~r v (s & (r & (t & s)))) v p))) & t)
343, (p v (q v ((r & ~q) & (s v t)))) & (s & ~(~p & s))
344, (~(~((p & ((q v r) & s)) v t) v q) & ~(p & q)) & q
345, p & ~((q v (~r v ~(((r & p) & (r & s)) v r))) & t)
346, ((p & (q & r)) & (q & ~~r)) & ~((q v s) v ~~t)
347, ~((p & ((((q v q) & (r & r)) & q) v (q & s))) & t) v q
348, (((p v (~q v ~(p & r))) v (~p v r)) v p) v (s & t)
349, p v (((p & (((q v r) & ((r & q) v r)) & q)) & ~s) & t)
350, ~(((((p v ~q) v (r & ~s)) v (~~r & t)) v q) & t)
351, p v ((((q v ~r) & ~(s v s)) & (t & ~(r & t))) v p)
352, p v (((((q & r) & s) v t) v (~(t v p) v t)) & (r v s))
353, ~p & (((~q & q) v (r & (p & (r v (~q v s))))) v t)
354, (p & ((~q & ~(((r v s) v t) & (r & r))) v ~p)) & s
355, p & ((~~q & ((p v r) & s)) v (~t v ((t & t) & r)))
356, (((p & (p v ((q v r) v s))) v t) & r) v (q v (~p v p))
357, p v (q & ~~(~r & (((s v (s v s)) & s) v (s v t))))
358, ~((p v ~q) & (~q v (((((r & s) v t) v p) v r) & t)))
359, (((p v (q v q)) & p) & (r & (s v s))) & ~(t v (s v s))
360, p & (p & ((q v (r & ((p v r) v (s & t)))) & (s & ~t)))
361, (((p & (~q & ((r v s) v p))) v (r v r)) & (s & t)) v r
362, p v ~(~~((q v r) v (~(s & (r & s)) v ~p)) & t)
363, p v ((q & ~(~(~(p v p) & ((r v s) & s)) v t)) & t)
364, ~~(((p & q) v (r & r)) & ((s v (r v (t v t))) & ~q))
365, p v ~(q v (~r & ((~s v r) & ((t v (s v t)) & t))))
366, ~~((p & (p & (q v (q & r)))) & s) v ((r v t) & ~s)
367, (~(p v (q & (r v ((~q v r) v ~s)))) & t) v (q & r)
368, (p v ~(((q & (p & (r & (s v r)))) & (s & t)) v q)) v r
369, ~(((((p v (q & r)) & s) & (t & q)) & s) v ((r & r) & r))
370, p & (q & ((r & ((s & (q v s)) v t)) v (~t v (p v r))))
371, ((~p v q) & ((~r & (q & s)) v ~((r v q) v t))) & s
372, ~(p & (q & (((r v s) & ((q v ~~t) & t)) & q))) & p
373, ((~((p & (p v (p & ~q))) v r) & (s & q)) & s) v ~t
374, (p & ((~q & ~(r v (s v (~(s v r) & s)))) & q)) v t
375, ~(((p v (p & ~q)) & ((r v ~q) v s)) v (p & (q v t)))
376, (((p & ~(q v r)) & s) v (~r & ((~r & t) & s))) v q
377, (p & ((((q & (r v q)) & (s & s)) & r) & (t v p))) v ~p
378, ~(p & (~q & r)) v (s & (~r & (p & (t v (t v p)))))
