formula, alpha, beta, fmi
((~((p v p) v q) -> q) v (r -> ((s v (r -> p)) v t))) & p, 2, 9, 0.5
(p v ~(q & ((r v (~q & q)) & s))) & (~r & (t & q)), 5, 5, 0.5555556
~(((p -> q) -> (r v p)) v (((s v q) -> t) v (p v (r & q)))), 7, 8, 0.5
~((((~(p -> (q & (r v q))) v ~s) & p) -> (t v r)) -> p), 4, 6, 0.5555556
(~~((((~p v q) & ~r) & s) v (t & r)) -> ~t) -> q, 7, 4, 0.625
p & ((~(q v (((r -> (r v s)) -> p) v (p v t))) -> r) & r), 5, 6, 0.5
((p & ~(q v r)) v s) & ~(p & ~((q v (r v r)) & t)), 5, 8, 0.5555556
((p -> (((q -> ~p) v ~~(q v r)) -> s)) v (r -> t)) & r, 5, 5, 0.5555556
(p v (q v (p & ((~(~(r v s) & p) -> q) & s)))) & ~t, 6, 4, 0.5555556
(p -> (q v q)) & ((~((~r v q) -> s) v r) & (t v ~t)), 4, 18, 0.5555556
(~~p & p) & (~(((q -> q) v r) v s) & ((t & s) -> t)), 7, 3, 0.5555556
(~~(p -> q) v (~r & r)) -> ((r v (s & r)) -> (t v s)), 6, 6, 0.5555556
p & (~~((((q v ~(q & r)) -> s) -> s) & (q -> t)) v p), 4, 9, 0.5555556
(~(~~p v (((q -> (r & s)) & (t v r)) -> r)) & t) -> q, 4, 7, 0.5555556
p -> ((q & r) & ~(s v ~(t & ((~(r & r) v s) & q)))), 6, 4, 0.5555556
(p -> (q & ((q & (r -> s)) & ((q & p) -> ~(r -> t))))) & s, 6, 7, 0.5
p v ((q -> (r -> (~q v ~s))) & (t v (r & ~(p v p)))), 4, 9, 0.5555556
p -> (((q & r) & ~((s & t) -> (s v r))) -> ((p & q) v s)), 2, 9, 0.5
p -> ~(~(q -> p) v ~((r & q) & ((q & (s -> t)) -> t))), 5, 7, 0.5555556
(p -> (((q -> r) v (s v p)) & s)) v ~((p & r) & (s v t)), 4, 8, 0.5
(((~p -> (((q & r) & (p v s)) & t)) v (q -> t)) & q) v r, 5, 6, 0.5
(~p & (((q & r) & r) -> ((((p v s) & t) v q) v q))) & q, 4, 7, 0.5
((p & p) & (q & r)) -> ~(((((q -> s) & t) v p) -> p) & s), 3, 8, 0.5
~((((~~(p -> ~q) -> (r & s)) v ~t) & (r -> q)) v t), 7, 5, 0.625
p -> ((q & r) & (q v (((r -> ((s v ~r) & q)) & t) & t))), 6, 5, 0.5
~(((p & q) v (r & q)) v ((p -> ~((s & t) v s)) -> ~p)), 5, 12, 0.5555556
~p -> ((((((~p & ~q) & r) -> s) v q) v (s & t)) v r), 2, 8, 0.5555556
(((p & q) & ((~r v ~(p -> q)) v (s -> t))) v ~r) -> p, 5, 5, 0.5555556
p -> (q v (r -> ~((((s -> (q v r)) & q) -> t) -> (t v s)))), 5, 6, 0.5
~p & (~(q v ((~p -> (((r v s) -> r) v t)) & t)) v s), 6, 4, 0.5555556
(~p & ((q v ((((r -> r) -> s) -> (t v r)) & q)) v r)) -> t, 6, 5, 0.5
~((~(p v ~~(q v ~r)) v s) & ((q & q) v q)) & t, 5, 5, 0.625
(((~(p -> ~(q v ~r)) v (r -> s)) -> (t -> q)) & q) & r, 6, 4, 0.5555556
((((p & q) v ((r v (s -> (t v p))) v s)) & ~t) v r) v r, 3, 8, 0.5
((~p -> (q & p)) & ((p v ((r v (s -> r)) -> r)) & t)) -> t, 6, 7, 0.5
(p & (((q & p) v ((r -> r) & (s -> s))) -> (~r v t))) & r, 7, 6, 0.5
((~p -> (q & (r v ~r))) -> ((s & ~s) -> t)) v (p & p), 6, 6, 0.5555556
(p v (((q & r) -> s) & ((t & (r -> p)) -> ~~p))) & ~r, 4, 10, 0.5555556
~(((((p v q) v r) -> (s -> t)) & s) v (s v ((r v p) & s))), 6, 8, 0.5
(p & q) v ((r v s) -> (r -> ((r v p) & ((~t v s) -> r)))), 12, 7, 0.5
p v (~(q -> ((p v ((p & r) & q)) & s)) -> (r -> (t & r))), 8, 6, 0.5
(((~p v p) v (q & q)) -> r) & (r & ((s & r) & (t v p))), 7, 6, 0.5
~((p -> (q -> ((((q -> (r v r)) & p) -> s) -> (t v s)))) v p), 8, 3, 0.5
(((~p & (q -> (p v r))) v s) & (s -> (t & s))) -> (p & p), 16, 5, 0.5
p v ((q & q) v (((~r v (p -> s)) & ((s & s) & t)) -> t)), 6, 7, 0.5
((p v q) v (~q v r)) v (((s -> (s -> q)) & t) v (q -> s)), 2, 9, 0.5
(p v ((~q v ((r & (((s v t) -> p) -> r)) v r)) -> s)) -> t, 5, 6, 0.5
((((p v ~p) v (q v (r & r))) & (s v t)) v q) v (t -> r), 3, 11, 0.5
((p -> (q & r)) -> (~(r v (p v s)) & ((p v q) v t))) v s, 8, 6, 0.5
p & (~p & ((q -> (((p v q) -> r) & ((p & s) -> t))) -> s)), 9, 4, 0.5
(p & (~((q v (r -> p)) -> s) & ((t & p) & p))) v (r v p), 6, 5, 0.5
~((p & (p v (q v ~r))) -> ((s & (q -> ~s)) -> r)) v t, 5, 7, 0.5555556
~((((p & q) -> (q & ((r & s) v q))) & q) v ((t v q) -> p)), 6, 8, 0.5
(p -> ~((q v (r -> ((s v r) & p))) v (t v r))) -> (s v t), 3, 8, 0.5
(p & (q -> (r v ~(~(~~(s & r) v t) v p)))) v ~p, 4, 5, 0.625
(((p v p) -> q) -> r) v ((r & (s -> ~r)) -> (t & (s v t))), 8, 7, 0.5
~((p & q) -> (((r -> s) v q) v (p -> ~(q -> (~s v t))))), 7, 3, 0.5555556
~(p & (((q v r) & s) & ((s v s) v p))) & ((t -> t) & p), 8, 8, 0.5
p & ~(~(q -> (r & r)) & (~((p & (s & t)) v s) -> r)), 7, 5, 0.5555556
((~p & (q v ~(~~r -> ~(p v (s v s))))) v t) & q, 4, 5, 0.625
~(((p & q) -> ((r & s) & q)) v (p -> ((s & t) -> s))) & q, 8, 3, 0.5
p -> ((((p v (~q -> r)) v ~r) v (r & ~s)) -> (t v p)), 5, 5, 0.5555556
~p & ((q -> ((~(p -> ~(r & s)) -> r) -> (s & t))) & r), 10, 3, 0.5555556
~(((p v q) -> (((~r v ~s) -> t) -> (t v q))) v p) -> t, 4, 7, 0.5555556
~((((((p v q) -> r) -> q) -> ~(p v r)) & (s -> p)) -> ~t), 8, 6, 0.5555556
p & ~(p v (((q v r) v (s & t)) -> (~p -> (q -> ~p)))), 7, 3, 0.5555556
((~p & (q -> (~r v s))) v (r & s)) -> ~((q -> p) -> t), 8, 6, 0.5555556
~((~p & (p v ~((q & (r v s)) & t))) & (q & s)) & s, 5, 5, 0.5555556
(p & (~q -> ~(r & p))) v ((~(r v s) & p) -> (t -> s)), 2, 8, 0.5555556
p -> ~~(((~((q v p) -> r) & r) v (s v s)) & (t & t)), 5, 5, 0.5555556
(p v ~((p v q) -> ((r & (((r & q) & p) v s)) & t))) & r, 4, 11, 0.5
(p v ((q v r) v (s v (t -> ((~(p -> q) -> s) -> q))))) v p, 3, 8, 0.5
(~((p & q) & ((((r v (s v p)) -> q) & t) -> t)) v r) -> q, 5, 6, 0.5
(p & ((q & r) -> ((s & ~(q & t)) v t))) v (s & (q v t)), 6, 7, 0.5
(p -> q) & ((r & (s -> (((q -> t) v s) & ~(q v r)))) v t), 5, 10, 0.5
~((p -> (q v r)) -> ((q -> s) -> (q & (p -> t)))) & (r -> p), 5, 24, 0.5
((~p -> (p v q)) -> (((((p -> r) & r) -> s) -> s) & t)) & q, 13, 4, 0.5
((p -> q) v p) v ~(((((r & q) -> r) -> r) v (s v t)) -> s), 4, 7, 0.5
(p v ((q & p) -> (r v (q & s)))) v ((q v t) -> (~t v p)), 4, 8, 0.5
((p -> ~q) -> ((r v s) -> (s v (p -> s)))) & (t v (q -> s)), 5, 15, 0.5
((p -> (q v p)) & ((((~q & q) v q) -> (r -> s)) -> t)) v s, 5, 10, 0.5
((((p -> (((q & r) & p) -> (s v r))) -> s) -> ~t) & r) -> s, 7, 4, 0.5
p & (p -> ((q v (~((r -> s) v r) v (s & (p -> t)))) v p)), 7, 6, 0.5
(p & (q v (q -> r))) v (((s -> p) -> r) & ((t -> r) -> ~q)), 8, 7, 0.5
((p & (q v p)) -> r) v ((p & (q -> ~(q -> (s & t)))) & t), 8, 6, 0.5
(((p -> q) -> q) -> (r & ~(q -> (((s -> s) v s) & t)))) & r, 11, 4, 0.5
((((~p -> q) v ((q & ((q & r) & s)) & p)) & t) v s) -> t, 4, 7, 0.5
p -> (q v ~(((r v s) -> r) -> ((p -> t) & ((s & r) -> r)))), 8, 6, 0.5
p v (q -> ~(~(p v (~r v ((~s -> q) v ~t))) v q)), 2, 7, 0.625
((p v p) & (((q v q) & r) -> ~~~q)) & ((q -> s) v t), 4, 18, 0.5555556
~p & ((~(((~p & ~(~q -> r)) v q) v q) v s) v t), 4, 5, 0.625
((p v q) -> (q v r)) & ~((q & s) v (((r & r) & t) -> r)), 7, 6, 0.5
(p v ((p v ((q & r) & q)) -> p)) v ((s & q) v ~~~t), 4, 7, 0.5555556
~(p & (q v ((r & q) -> (q v (s & ~((q v t) -> ~t)))))), 6, 4, 0.5555556
(p v (p & ((((((~q v r) -> p) -> s) -> p) & t) -> q))) v q, 4, 7, 0.5
~(~((p v ~((q & (r & (r -> s))) v t)) -> s) v (s & t)), 5, 8, 0.5555556
~(p & (q & (~r -> ~~~(s -> (s & (t v q)))))) & p, 4, 5, 0.625
((~p & q) & (p v (p v q))) v (r -> ((~~s v t) v q)), 3, 7, 0.5555556
((p v (~q v r)) & q) & ((q -> ((s v t) & r)) -> (p & r)), 8, 9, 0.5
p & (q v (r -> (q & (p v (~p -> (p & ((s -> q) v t))))))), 4, 7, 0.5
((p v (~(~~q v ((r v p) v (s & t))) v q)) -> r) -> t, 5, 5, 0.5555556
~(((~(p & q) & ((r v q) -> r)) & (s & ~r)) v r) v t, 5, 6, 0.5555556
p -> (((p v (q & r)) -> (s -> q)) v (((p -> s) -> ~s) v t)), 4, 8, 0.5
p -> (((p & p) & q) -> (~(r & q) v ((q v s) & (t -> s)))), 2, 10, 0.5
(p & q) -> (((r -> s) -> ((~(t v (s v q)) v q) & t)) v p), 8, 6, 0.5
~((~p & ~((q & r) v (r -> s))) & ((p & q) & t)) -> q, 7, 3, 0.5555556
(p v (p v ((~q -> (r v q)) v ((p v s) v t)))) v (q -> t), 1, 10, 0.5
((p -> (q & (r v (~(r v r) v ~(~p v r))))) -> s) -> t, 6, 5, 0.5555556
~((p v q) v ((r v q) & (s -> (s -> p)))) -> ((t & r) v r), 4, 10, 0.5
p -> ((q -> (r v s)) & ((p & (t -> s)) v ((~p -> s) & p))), 5, 13, 0.5
(~p & q) & (~(r & s) v ~~(p v (q v (t v ~p)))), 3, 6, 0.625
~(((((p v q) v r) -> (r v s)) -> r) v (r & t)) v (p v q), 5, 8, 0.5
p & (((q & (r v ~(~s v q))) & (t -> r)) v (~p & s)), 9, 5, 0.5555556
p & (q & (((r & ((p v s) v p)) & (p v (p v ~t))) -> r)), 11, 4, 0.5
p v ~((q v (~r -> ((q -> s) -> ((~q v t) v q)))) -> q), 3, 7, 0.5555556
~((((p -> (((q v (r & s)) -> s) & p)) -> t) & t) -> t) v q, 6, 5, 0.5
(((p -> q) & (p & (p -> r))) v ~(s & q)) -> ((r -> q) -> t), 12, 5, 0.5
((p v (q -> ~(r -> (p v s)))) -> ~p) -> (t v (p -> ~q)), 4, 6, 0.5555556
~(p & q) v ((r & (((s & s) & q) -> q)) -> (t & ~~t)), 8, 5, 0.5555556
((p -> (((q v r) -> s) & (s -> t))) & ((r v ~r) -> p)) -> p, 10, 6, 0.5
~(p -> (((q -> r) & p) & (((~~s & ~t) -> p) & ~s))), 7, 4, 0.625
(p -> (q -> ~((r & p) -> (p & ~(r & (r v ~s)))))) v t, 4, 6, 0.5555556
((p -> q) v (r -> s)) v (~(r v (q v q)) -> ((q & p) -> t)), 1, 10, 0.5
(p & q) & ((q & r) & ((((~q & (p v s)) & t) v p) v r)), 7, 4, 0.5
((p -> p) -> ~(p & (q -> (r & (((r v s) v r) -> t))))) & r, 7, 6, 0.5
~((p v q) & (r -> s)) & ((p -> (r & t)) v ((t & t) & r)), 10, 6, 0.5
(p -> ~(((~p v q) -> r) v (~(s v t) -> (q & p)))) & p, 6, 5, 0.5555556
p & ~((q v r) & ~((~s v (t -> q)) v ((s & p) -> s))), 3, 7, 0.5555556
~p & ((((q v p) v (r v r)) -> (s v (q v s))) -> (t v s)), 5, 6, 0.5
p & ((q v ~(p -> ((r & (s -> ~(t v ~q))) v t))) & r), 6, 4, 0.5555556
p & ~((~(~(q -> r) -> p) -> (r & s)) -> (t v (s v q))), 6, 4, 0.5555556
p & (((q & r) -> ~q) v (((q -> (p v s)) & (t v p)) -> p)), 7, 6, 0.5
p & ((q & r) & ((~s v ~(r & ~((q v t) v q))) & r)), 5, 5, 0.5555556
(p v q) & (((r -> (((s -> ~t) -> (r -> q)) -> t)) -> r) v r), 5, 10, 0.5
(p v q) -> ~~((((r & p) v s) -> (p v s)) & ~(q v t)), 8, 5, 0.5555556
p v (((~q -> r) v p) & (r v (((s v r) v r) -> (t -> r)))), 4, 13, 0.5
p v (~((q & q) & (r v ((s v q) v (q v (p & t))))) v r), 5, 6, 0.5
(p -> ~((q v (r -> (p v (~s & (~q v p))))) & q)) -> t, 4, 6, 0.5555556
(~((p v q) -> q) & (((((r v s) -> t) v q) v s) -> s)) & s, 7, 6, 0.5
(((~~(p -> ~(q v r)) v s) v p) & (t -> (s v t))) & p, 4, 12, 0.5555556
p & ((((((q & (r & r)) -> q) v s) v ~p) & t) & (s & t)), 5, 6, 0.5
p v (q v (~p -> ((r -> s) & (s v (r v (t -> ~~p)))))), 2, 11, 0.5555556
(((p v ~~(q & (~~r v p))) v (~q & s)) -> t) -> p, 5, 5, 0.625
(p -> ((q & (r v (q v (((q & s) v q) & p)))) -> ~r)) & t, 5, 6, 0.5
(((~(p & q) & r) v (s v q)) -> (p & (s & (t -> s)))) -> s, 4, 13, 0.5
(p & ~q) v ((r & s) v (s & ((s & ((s -> s) v t)) v p))), 12, 6, 0.5
(p -> (((q -> (r v s)) -> t) -> (~p v (q & r)))) v (q -> q), 4, 8, 0.5
~(((p & (q -> r)) -> ~~(s & ((q -> t) -> p))) -> q) -> q, 4, 8, 0.5555556
p & (((q -> r) -> (~~s -> (p -> p))) v ~(t -> (q v q))), 7, 5, 0.5555556
(p & (q & (((q -> q) -> ((r -> s) -> ~s)) v t))) -> (t & r), 8, 7, 0.5
p v (q v ((r -> s) & (~~((q v r) & ~p) & (s & t)))), 5, 6, 0.5555556
~(((p v (q v p)) v r) -> ((~(p v r) & (~s v s)) -> t)), 5, 8, 0.5555556
p v ((((q v r) -> ((q v (p v ~(q v r))) & s)) & r) v t), 7, 6, 0.5
((p -> p) -> ~(~((q -> (r -> s)) & p) v r)) & (~t v p), 7, 8, 0.5555556
~((p & q) v (((((r & s) -> q) v q) v (q -> t)) & (s & r))), 7, 6, 0.5
(~p v ((q & (~(r v s) -> t)) -> t)) -> (t v (p v ~t)), 4, 6, 0.5555556
~(((p v q) -> (p v (~((r & p) & p) & s))) -> ~t) & q, 6, 5, 0.5555556
~~((((p -> (q v (r -> q))) & (s & (t -> q))) v s) & ~p), 4, 9, 0.5555556
(p & (~q -> r)) & (((r & s) -> t) v (((q v s) -> q) v p)), 4, 12, 0.5
(((p v p) v p) -> q) & (r -> ((s & ~q) & ((q v s) -> t))), 7, 6, 0.5
(((p & q) -> r) -> (~p & ((r v (s & t)) & (q -> q)))) & t, 13, 5, 0.5
(((~p & ~p) & (q -> r)) v ((s & (r v t)) & s)) -> ~p, 4, 10, 0.5555556
(((((((p & q) v r) v s) v p) -> (t -> ~p)) v p) v t) -> q, 6, 5, 0.5
(p -> ((q & r) v (r v s))) -> ((((r v t) -> p) v r) -> ~t), 12, 5, 0.5
p -> (p v ((((~q -> (r -> (p & ~~s))) & q) & p) -> t)), 3, 7, 0.5555556
p -> (((q v (r -> r)) & (((q v q) & s) v t)) -> (~q & p)), 18, 5, 0.5
(((p -> q) v (~p v r)) v p) -> ((q -> r) -> ((q v s) v t)), 10, 5, 0.5
(((p v (q -> ~q)) v ((r & p) v s)) v (t -> r)) v (s -> q), 2, 9, 0.5
~~((p & q) & (r -> r)) & ((p -> ~(s & p)) & (t & t)), 6, 6, 0.5555556
~(((~p v ~((q v r) -> q)) -> ((r v s) v t)) v t) & q, 7, 3, 0.5555556
p v (((p & q) -> p) v ((r -> ((s v r) & (~t -> p))) -> q)), 5, 7, 0.5
(p -> (q & p)) v (((r & ~((q & ~s) -> p)) -> ~t) & s), 4, 7, 0.5555556
~(p -> ((((p v q) v r) -> (p v (q -> (s & r)))) v (s & t))), 6, 12, 0.5
p v ((((p & (q & r)) v r) -> ((s -> r) & t)) -> ~(q v s)), 10, 6, 0.5
p & (q & (((r & q) & s) v ((~s & (p & (q -> t))) & p))), 14, 3, 0.5
((p v (q -> ((q -> ((~r & s) v t)) & q))) v r) & (r v q), 4, 12, 0.5
~((p v (q v ((r v ~p) & (p -> (s -> (p -> t)))))) -> ~q), 3, 10, 0.5555556
p & ((q & r) -> (r -> (s v ((p -> (~(t -> q) & s)) & t)))), 5, 6, 0.5
p & ((q -> ~~r) -> (s -> ((p v s) -> (s & ~(t & r))))), 9, 5, 0.5555556
p -> ((q v ((r & ((q v s) -> r)) & t)) -> (s & ~(t & p))), 6, 7, 0.5
p & ((q -> ((r & (r & ~((p & ~s) -> ~s))) -> t)) v p), 2, 8, 0.5555556
~(p -> (q v ~(r & (((q & s) v t) v (q -> ~(t v q)))))), 7, 4, 0.5555556
((~p v q) & (r & (s v ((s -> (p & (t -> p))) -> r)))) -> p, 8, 6, 0.5
(~(((p & q) -> (r -> ((p v ~s) & ~r))) & s) v s) -> t, 4, 6, 0.5555556
p & (~(q & ~(((p & r) -> ((s -> q) & ~s)) & s)) -> t), 6, 4, 0.5555556
(p -> (q v p)) v (~((r v r) -> ~~p) -> (s & (t v s))), 4, 7, 0.5555556
~(p v (q -> ((q -> r) v (~(~(p & s) v (r v p)) & t)))), 5, 5, 0.5555556
((p -> q) & (((r & ((p -> (r & s)) v t)) v t) & r)) & ~p, 6, 8, 0.5
((~p & (q v p)) v p) v (~(r v (~(s v t) -> p)) & t), 10, 4, 0.5555556
~(p -> ((((q -> ((q v r) -> s)) -> ((p & r) v r)) v t) -> p)), 8, 5, 0.5
(p & (((((p -> (q -> p)) -> q) -> p) v (~r v q)) & s)) -> t, 6, 5, 0.5
(p v (q & r)) -> (q v (~(s v r) & (t & (t & (p v s))))), 10, 5, 0.5
(p & (q & r)) v ((q -> ~(s -> r)) v ((t -> (q & q)) & s)), 18, 5, 0.5
~(p & q) -> (((r -> (r & s)) -> q) v (t -> ((p v t) -> p))), 8, 7, 0.5
((p v (~((((q -> q) & r) -> q) v q) v s)) & t) & (p & r), 7, 4, 0.5
(((p -> (~q v r)) & (s v (q -> t))) v (t -> s)) -> (p v r), 11, 4, 0.5
(((p -> q) v (p v ((p -> ~((r v s) -> t)) -> r))) & q) v s, 4, 7, 0.5
(~(p v q) v ((r -> r) & (q & (r & ~(r & ~s))))) & t, 9, 5, 0.5555556
p v (q -> (q & (r & (p -> ~(q & ~((s & ~t) v s)))))), 4, 6, 0.5555556
p -> (~((q v (p & (p v (r v q)))) & (s -> (p -> t))) & q), 13, 4, 0.5
p & ((~(q & r) -> (~p v p)) & ((r -> (s -> p)) & ~t)), 5, 9, 0.5555556
(p -> q) & (p & (~(((r -> (s -> q)) -> t) v (p v q)) -> p)), 5, 10, 0.5
(p v (p -> (q v p))) & (((r v s) v (t v (p & q))) & ~p), 4, 16, 0.5
(p & ((p -> (((q & r) v s) -> (s v s))) & ~(t & p))) v p, 4, 11, 0.5
~(p v ((~((q & (q v (q & q))) & ~r) v q) -> (s -> t))), 5, 5, 0.5555556
(((p -> ~q) v (r -> q)) v r) -> (s & (t -> (p & (t -> s)))), 15, 4, 0.5
~(p v q) & (((r v (r -> s)) -> ((p & t) -> (r v t))) v p), 5, 6, 0.5
~(~(p & (q & (r v (r & (q -> s))))) & s) v (s & ~t), 8, 5, 0.5555556
~(p v (((q & r) -> (s & (p & (q v r)))) v ~(~s v t))), 6, 6, 0.5555556
~(~(p -> ~~((~((q -> r) -> (s -> r)) & s) -> p)) & t), 2, 7, 0.625
((~p -> (q & r)) & s) v ((q -> t) -> ((r v p) v (p v t))), 6, 7, 0.5
((p -> (((q -> r) -> r) -> (((q & ~s) & q) v r))) v r) v t, 6, 7, 0.5
(~(~p & q) -> (p v ((r v s) & ~t))) & (q & (r v r)), 6, 8, 0.5555556
p -> (((q & ~(~p v r)) & ~((r & (s v s)) -> s)) -> t), 2, 8, 0.5555556
p & ~(q & ((r -> (s -> t)) -> (~((t v q) & ~q) & r))), 4, 10, 0.5555556
(~((((p v (q -> r)) & s) -> ((t & t) v s)) & q) & q) -> t, 7, 6, 0.5
p -> (~q -> (r & (~~~q -> (~(p -> (q & s)) & t)))), 4, 5, 0.625
~p v (((q -> ((~~r & q) -> ((s v t) & r))) v r) -> q), 6, 4, 0.5555556
((((p v q) -> q) -> (r & ~(q v p))) v q) v ((s -> r) & t), 12, 6, 0.5
~((p -> ((p v (q -> (r -> (p & p)))) -> r)) v s) v (q v t), 5, 6, 0.5
p -> (~(((((q v (r -> s)) -> (p v r)) -> t) & s) & r) v q), 4, 7, 0.5
p -> (q -> (r -> ((r & (~s v (r -> (~~t v s)))) & s))), 3, 7, 0.5555556
(p v q) & ((r -> r) v ~(r & ((s v t) v (p & (t & p))))), 4, 12, 0.5
p -> ~~(((q & (q -> ((r & s) v (t & ~t)))) & q) -> s), 3, 8, 0.5555556
~((p & ((((q & r) v s) & ((s & (q v p)) -> r)) & t)) & q), 6, 7, 0.5
(p v ((~(q -> (((r -> (p & s)) -> p) v s)) v p) v t)) v s, 5, 6, 0.5
p -> ((q -> q) -> ((~r & ~(((s & p) v t) & p)) & ~r)), 8, 5, 0.5555556
(p -> ((p & ((q & r) & q)) & (s & ((r & t) & t)))) & ~s, 9, 2, 0.5
((p -> ((q -> (q -> r)) & q)) & s) & (~s v (t v (t v t))), 4, 16, 0.5
p v ((~(~(q -> (~r v q)) -> s) -> t) v (p v (s -> s))), 1, 9, 0.5555556
(p v ~~(q & ((p v r) & q))) & (~p v (s v (t v r))), 4, 12, 0.5555556
p & ((((p v q) v ~(r -> r)) v p) & (~~(s & t) v r)), 5, 8, 0.5555556
(p & ((q & r) -> (~~(~s & t) & (s v q)))) -> (r & s), 8, 5, 0.5555556
p v (~((((~((q v r) v q) & s) -> s) & p) & t) v ~r), 5, 5, 0.5555556
p & ~(q v (r & (((((s -> (p v t)) -> q) & t) v t) & r))), 5, 6, 0.5
(p & (q & ~(r & s))) & (((((s & p) & p) & r) -> r) -> t), 8, 4, 0.5
((p & (((((q & r) -> (~q -> q)) & s) -> t) & q)) v q) v p, 6, 5, 0.5
~((p v ((((q -> (r -> r)) v q) v (s v (q v r))) -> t)) v p), 4, 7, 0.5
p v ((p -> ((~q & (~(p v r) v (r -> s))) & s)) & ~t), 5, 5, 0.5555556
p -> ((~(p v q) & ((((~r -> q) v s) v t) v ~t)) v r), 3, 7, 0.5555556
(p v p) -> ~(q v (r -> ~((r & (r & s)) v ~(p & t)))), 10, 4, 0.5555556
((((p v ~~q) -> ((r & ~p) v s)) v p) & r) v (t -> s), 5, 6, 0.5555556
p & (q v ((((r v s) & ((t & ~t) & ~~q)) v r) v p)), 5, 5, 0.5555556
(((p v ~(~~q & (r v s))) v r) & (t -> s)) & (s -> t), 4, 16, 0.5555556
((p v (q & (q -> (p v (~r & s))))) v s) v ((r & s) v t), 6, 7, 0.5
p & ~((((((q v ~q) & r) -> s) & (~p -> q)) & t) -> p), 6, 6, 0.5555556
~((~p & ((p v q) & r)) v (~r -> ((s -> q) -> (s -> t)))), 6, 6, 0.5555556
p -> (q & (r -> (((p & s) & ((q -> t) & (~r v t))) & p))), 6, 6, 0.5
~(p -> ~(q -> ~((((r v q) & (s v r)) -> p) & q))) -> t, 6, 5, 0.5555556
(p v (q & (((~r v s) v ((~t -> r) & q)) v ~t))) v t, 3, 7, 0.5555556
(p -> q) -> ((~p & r) & (((s -> ((p & r) -> s)) v q) v t)), 6, 7, 0.5
~~p -> ((q & (~q v (r -> (s & t)))) -> (~~r & s)), 6, 5, 0.625
(p & (q & ((((r -> p) v s) -> t) & p))) v ~(p & (t & t)), 6, 5, 0.5
(((p & q) v r) -> ((r & ~r) -> ((s -> s) v r))) & (p v t), 3, 14, 0.5
~(((p -> (((((q & r) & s) -> r) & t) v p)) & (t & r)) -> t), 5, 6, 0.5
p & ((q v ~(p & ((p -> r) v ~(p & (q v s))))) -> ~t), 5, 5, 0.5555556
~((p & (p -> (q & (~~q -> (r & s))))) & (t & p)) & p, 4, 6, 0.5555556
p -> ~((q & ((~(~~~r -> s) v (p v t)) -> p)) v s), 4, 5, 0.625
((((p -> ~q) v q) & r) -> (s & (q & ((s -> p) & t)))) & q, 13, 4, 0.5
